domain,specific_url,intel_object_id,intel_object_url,intel_object,http_return_code,service
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,e5952121-90ed-404f-8cad-6144e3d0eb90,https://d6deij4k3ikap.cloudfront.net/2YUJGd3kCLSgRRhUrIkpAWXF0T0xHKDUYFxF/Kg1PGSEIMEExZDINHVx3aEJfDSMoEERHJygURFBkJxMbXHZgAhhcLykNEA0uJ1JLJ3doR1xTcm4PSFBndTVcU3IqHhcUOmNFSRl6cChPVWtjRUkAMjYbHBYnJBwQFWd0MUxSdWhET0Rwdl8SCTYrG1xTAW-NFSQ0rLRJcU3IhEhoKLW9SS1EqIxYdDSc1BBoJMCkaHERwAEZIUmx2WUxXdXRZT1JndEcKACQnBRBEcABCSlZsdUFfFH93,None,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,4ab79f26-604d-4219-8da6-59f3dd7e688b,https://ww.fmoviefree.sc/wp-content/themes/assets/icons/fonts/fontawesome-webfont.woff2,text/html; charset=iso-8859-1,301,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,578cd021-f110-43d6-abec-0fe789018241,https://practicalwhich.info/S2dXVnBkWDQlTRpVEQAmHg9hASczADQOIh89ABhGLyEzOyp4InEiGS9abm5DeVRmcAAiA2pnVjgTNiIFOFpkZkB6QT44FiRaZ2ZAe0Eha0FlVGN4Q3lJZXAFdlZhYEF+X2BhR3JVbmZCc1RxIgAqAGpnVjsTIzpNelFvZUhzVGRmRHxQYA,None,204,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,196d405e-cf69-4583-872d-c43ed2bd03d9,https://d6deij4k3ikap.cloudfront.net/?jiedd=983231,None,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,3ccdafbc-2edb-4541-909f-ab92adeb02a1,https://www.googletagmanager.com/gtag/js?id=UA-110551045-1,application/javascript; charset=UTF-8,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,15b13c8c-8a75-4552-9649-5b1a127c046c,https://champaup.com/rNtzE1Ojq09Tg/63404,application/javascript; charset=utf-8,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,84060e4c-f69c-40d4-98d0-7356d93b51ca,https://surf.streamvid.cc/2tjqnYWF_iXpnxHwJwDj1m_HuOqLhgUruaH4t4CEqxIN2K1VtTb2FNNWHdqHF9elLehOLTJV8DBLybX7Ey9dnw/lu2VgQeQivQeSn5MP5jUJ-AHjlbe6Dk-Nz_lKGzkJxI/preview.jpg,image/jpeg,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,31b3aa31-6d3d-44ed-aeba-6a6c962c5558,https://accounts.google.com/InteractiveLogin?continue=https://www.google.com/favicon.ico&hl=en&passive=true&service=mail&uilel=3&ifkv=Af_xneGoBBQyEnu_s3AS4ZwxqCkVGe9GXylOswEAOYi97N1hMymHtwiWydMjNYo0HRkDt4Rpxtfvng,text/html; charset=UTF-8,302,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,bf0d9321-9656-4628-98a3-55ade3317f3f,https://fmoviefree.sc/wp-content/themes/assets/inc/js/slide.min.js,application/javascript,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,6d945d9a-0d43-4f64-91c9-a8a31aee2c9e,https://streamvid.cc/templates/jwplayer/assets/jwplayer.core.controls.js,application/javascript,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,44bfb5bb-6ad2-41a8-a041-2cfc08110315,https://fmoviefree.sc/wp-content/themes/assets/inc/js/jquery.smooth-scroll.min.js,application/javascript,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,be0552a6-5bbd-4295-ad5f-b8beb84bc336,https://surf.streamvid.cc/tsfiles/IAFADCAC/1080K/2023/DCEEDEAA/05/CAEBIBFI/05/BADFBDAB/45791-008.ts,video/mp2t,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,5efd610f-7f08-43cd-8528-e56014c5196b,https://fmoviefree.sc/wp-content/themes/assets/icons/fonts/fontawesome-webfont.woff2,text/html; charset=iso-8859-1,301,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,66a48324-e30a-4f75-ba8e-1b7fb5951b30,https://surf.streamvid.cc/WuBwonnFpfTe9lwEqh-4gvl6ZAUp6mbyLgJB1lAuH8spuGfYLEifBEeJObwpykGnBa0GT7TG_Lo6-VVFHvvpYw/fT0jl0sb537fy53nlPCTQa0JAyveMfiVqRpQkM9h6jU/video.m3u8,application/vnd.apple.mpegurl,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,197b6033-1082-48fc-b33c-681199790684,https://fmoviefree.sc/wp-content/themes/assets/inc/js/jquery-1.9.1.min.js,application/javascript,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,a5906a7b-f1ea-451a-a1c8-665253ac7324,https://surf.streamvid.cc/WTqmnmwH80XbnFnCWqbEDz01Hw1tc__O11eCILbn3v5pEXbYMxGkjqBjTalZtwevsaZYY067864ajfaaTyWEUw/67sOwXsS28eR0bB6L53oNmR-eYsElKQNUu8dJPQbAYA/preview.jpg,image/jpeg,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,1fa78d68-b291-4138-8433-3c9fec473f9d,https://fmoviefree.sc/images/tt6791350/poster.jpg,image/jpeg,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,6d045858-cc4d-401f-9dca-6be1e152186a,https://fmoviefree.sc/wp-content/themes/assets/images/logo-dark.png,image/png,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,f7fed337-3213-4a67-b2fa-c6b11e4ae4b4,https://streamvid.cc/templates/jwplayer/assets/juicycodes.css?v=2.1.2,text/css,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,3803efb9-2e86-4ca9-be6d-1c0cb6338686,https://accounts.google.com/InteractiveLogin?continue=https://www.youtube.com/favicon.ico&hl=en&passive=true&service=youtube&uilel=3&ifkv=Af_xneEhqhOieZTA9z_lR0xaZCQroONf8ewPUtMA8RaFmt1cm2iyQiIScw9zpPb4a827tmZy4va2hA,text/html; charset=UTF-8,302,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,8ade525a-643e-439e-a545-773414e7c2a2,https://fmoviefree.sc/wp-content/themes/assets/css/slide.css,text/css,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,d9c68f21-b309-4568-b65c-3d139adc288e,https://accounts.google.com/v3/signin/identifier?dsh=S-334649862%3A1683884347140473&continue=https%3A%2F%2Fwww.youtube.com%2Ffavicon.ico&hl=en&ifkv=Af_xneGvKi6OCJYOEBrZTJgMpK0nSscg0G7uCarSH73RPJsTalrQ3J1i68pDhDDbnPiabKrSLp-W&passive=true&service=youtube&uilel=3&flowName=WebLiteSignIn&flowEntry=ServiceLogin,text/html; charset=utf-8,403,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,1d6b5611-e789-4873-9b1d-1b15ef34ebf1,https://surf.streamvid.cc/J0F_fxD3JWnS9AShAwql8VGsPiql26LtUj4JqUEM5FUrg9qaNynA8KW5dfmscHHahmX3Esep3hUkVkKvUPeeBw/nLlajYzYYjp7AiZ45fiQlBrfyrf8Xk3oZ5jn_Ax3bSk/thumbnail.vtt,text/vtt;charset=UTF-8,200,vod
fmoviefree.sc,https://fmoviefree.sc/online/guardians-of-the-galaxy-vol-3-2023/watching.html/,25b8e707-5d56-474e-850c-7fefe9cb3ce3,https://ntoftheusysianedt.info/?cs=SkxueWp7eV1IW394V0BSeHlaSV4&abt=0&red=1&sm=16&k=&v=1.34.32.2&sts=0&prn=0&emb=1&tid=983231&rxy=800_600&inc=0&u=1295697813113141&agec=1683884506&fs=1&mbkb=59.06674542232723&ref=https%3A%2F%2Fstreamvid.cc%2Fplayer%2FL23Wy4q4Vvk4qgt%2F&osr=fmoviefree.sc&jst=8&enr=0&lcua=mozilla%2F5.0%20(x11%3B%20linux%20x86_64)%20applewebkit%2F537.36%20(khtml%2C%20like%20gecko)%20headlesschrome%2F113.0.5672.63%20safari%2F537.36&tzd=5.5&uloc=&if=0&ct=2&ctc=9&_1CUE=1683883472323&utr1=00:00:10&utr2=1&utr3=0&utr4=0&utr5=0&utr6=0&utr7=0,None,204,vod
